experiment,lead_time,model_name,threshold,accuracy,precision,recall,f1,roc_auc,pr_auc,balanced_accuracy,tn,fp,fn,tp
env_with_chla,T+1,RandomForest,0.05,0.8876712328767123,0.6854219948849105,1.0,0.8133535660091047,0.9862432095868902,0.9619191541935136,0.9256348246674728,704,123,0,268
env_with_chla,T+1,RandomForest,0.06,0.891324200913242,0.6935064935064935,0.996268656716418,0.8177641653905053,0.9862432095868902,0.9619191541935136,0.9267921276326951,709,118,1,267
env_with_chla,T+1,RandomForest,0.07,0.8949771689497716,0.7007874015748031,0.996268656716418,0.8228043143297381,0.9862432095868902,0.9619191541935136,0.9292105073183057,713,114,1,267
env_with_chla,T+1,RandomForest,0.08,0.8958904109589041,0.7058823529411765,0.9850746268656716,0.822429906542056,0.9862432095868902,0.9619191541935136,0.9260318720785432,717,110,4,264
env_with_chla,T+1,RandomForest,0.09,0.9031963470319635,0.7213114754098361,0.9850746268656716,0.832807570977918,0.9862432095868902,0.9619191541935136,0.9308686314497645,725,102,4,264
env_with_chla,T+1,RandomForest,0.1,0.9041095890410958,0.7232876712328767,0.9850746268656716,0.8341232227488151,0.9862432095868902,0.9619191541935136,0.9314732263711671,726,101,4,264
env_with_chla,T+1,RandomForest,0.11,0.9068493150684932,0.7292817679558011,0.9850746268656716,0.8380952380952381,0.9862432095868902,0.9619191541935136,0.933287011135375,729,98,4,264
env_with_chla,T+1,RandomForest,0.12,0.908675799086758,0.7346368715083799,0.9813432835820896,0.8402555910543131,0.9862432095868902,0.9619191541935136,0.9332351242577921,732,95,5,263
env_with_chla,T+1,RandomForest,0.13,0.9114155251141552,0.7408450704225352,0.9813432835820896,0.8443017656500803,0.9862432095868902,0.9619191541935136,0.935048909022,735,92,5,263
env_with_chla,T+1,RandomForest,0.14,0.91324200913242,0.7450424929178471,0.9813432835820896,0.8470209339774557,0.9862432095868902,0.9619191541935136,0.9362580988648054,737,90,5,263
env_with_chla,T+1,RandomForest,0.15,0.9159817351598174,0.7514285714285714,0.9813432835820896,0.8511326860841424,0.9862432095868902,0.9619191541935136,0.9380718836290134,740,87,5,263
env_with_chla,T+1,RandomForest,0.16,0.9178082191780822,0.7587209302325582,0.9738805970149254,0.8529411764705882,0.9862432095868902,0.9619191541935136,0.9367589200310419,744,83,7,261
env_with_chla,T+1,RandomForest,0.17,0.919634703196347,0.7631578947368421,0.9738805970149254,0.8557377049180328,0.9862432095868902,0.9619191541935136,0.9379681098738473,746,81,7,261
env_with_chla,T+1,RandomForest,0.18,0.9223744292237442,0.7699115044247787,0.9738805970149254,0.8599670510708401,0.9862432095868902,0.9619191541935136,0.9397818946380552,749,78,7,261
env_with_chla,T+1,RandomForest,0.19,0.9214611872146119,0.7692307692307693,0.9701492537313433,0.858085808580858,0.9862432095868902,0.9619191541935136,0.9379162229962641,749,78,8,260
env_with_chla,T+1,RandomForest,0.2,0.9214611872146119,0.7692307692307693,0.9701492537313433,0.858085808580858,0.9862432095868902,0.9619191541935136,0.9379162229962641,749,78,8,260
