lead_time,best_model,selection_metric,model_file,feature_policy,feature_cols_json,accuracy,precision,recall,f1,roc_auc,pr_auc,balanced_accuracy,threshold,tn,fp,fn,tp
T+1,XGBoost,test_pr_auc_then_f1,outputs\modeling_env\models\best_model_Tplus1_XGBoost_env.pkl,exclude_total_cyano_and_harmful_cyano_features,"[""채수위치"", ""일조시간 합계(hr)"", ""투명도"", ""수온(℃)"", ""pH"", ""DO(㎎/L)"", ""탁도"", ""Chl-a (㎎/㎥)"", ""평균기온(°C)"", ""최저기온(°C)"", ""최고기온(°C)"", ""평균 풍속(m/s)"", ""평균 상대습도(%)"", ""합계 일조시간(hr)"", ""합계 일사량(MJ/m2)"", ""평균 전운량(1/10)"", ""수위(EL.m)"", ""저수량(백만㎥)"", ""저수율(%)"", ""강우량(mm)"", ""유입량(㎥/s)"", ""총방류량(㎥/s)"", ""전년저수위"", ""예년저수위"", ""취수량1"", ""취수량2"", ""취수량3"", ""기타방류량1"", ""기타방류량2"", ""기타방류량3"", ""outlet방류량"", ""예년강수량"", ""기타발전방류량"", ""일강수량(mm)"", ""월"", ""연도"", ""dayofyear"", ""month_sin"", ""month_cos"", ""doy_sin"", ""doy_cos"", ""CHD"", ""water_temp_mean_3d"", ""water_temp_mean_7d"", ""water_temp_mean_14d"", ""water_temp_lag1"", ""water_temp_lag3"", ""water_temp_lag7"", ""water_temp_lag10"", ""water_temp_lag14"", ""air_temp_mean_3d"", ""air_temp_mean_7d"", ""air_temp_mean_14d"", ""heat_degree_7d"", ""rain_sum_3d"", ""rain_sum_7d"", ""rain_sum_14d"", ""rain_sum_30d"", ""dry_days"", ""rain_pulse_flag"", ""solar_mean_3d"", ""solar_mean_7d"", ""solar_mean_14d"", ""HRT"", ""HRT_7d"", ""HRT_14d"", ""flow_balance"", ""flow_balance_7d"", ""flow_balance_14d"", ""chla_lag1"", ""chla_lag3"", ""chla_lag7"", ""chla_lag10"", ""chla_lag14"", ""chla_roll7"", ""chla_roll14"", ""BGI_env""]",0.9333333333333333,0.9616055846422339,0.8162962962962963,0.8830128205128205,0.9853181762620706,0.9703929488118941,0.900887422075541,0.09,1493,22,124,551
T+3,XGBoost,test_pr_auc_then_f1,outputs\modeling_env\models\best_model_Tplus3_XGBoost_env.pkl,exclude_total_cyano_and_harmful_cyano_features,"[""채수위치"", ""일조시간 합계(hr)"", ""투명도"", ""수온(℃)"", ""pH"", ""DO(㎎/L)"", ""탁도"", ""Chl-a (㎎/㎥)"", ""평균기온(°C)"", ""최저기온(°C)"", ""최고기온(°C)"", ""평균 풍속(m/s)"", ""평균 상대습도(%)"", ""합계 일조시간(hr)"", ""합계 일사량(MJ/m2)"", ""평균 전운량(1/10)"", ""수위(EL.m)"", ""저수량(백만㎥)"", ""저수율(%)"", ""강우량(mm)"", ""유입량(㎥/s)"", ""총방류량(㎥/s)"", ""전년저수위"", ""예년저수위"", ""취수량1"", ""취수량2"", ""취수량3"", ""기타방류량1"", ""기타방류량2"", ""기타방류량3"", ""outlet방류량"", ""예년강수량"", ""기타발전방류량"", ""일강수량(mm)"", ""월"", ""연도"", ""dayofyear"", ""month_sin"", ""month_cos"", ""doy_sin"", ""doy_cos"", ""CHD"", ""water_temp_mean_3d"", ""water_temp_mean_7d"", ""water_temp_mean_14d"", ""water_temp_lag1"", ""water_temp_lag3"", ""water_temp_lag7"", ""water_temp_lag10"", ""water_temp_lag14"", ""air_temp_mean_3d"", ""air_temp_mean_7d"", ""air_temp_mean_14d"", ""heat_degree_7d"", ""rain_sum_3d"", ""rain_sum_7d"", ""rain_sum_14d"", ""rain_sum_30d"", ""dry_days"", ""rain_pulse_flag"", ""solar_mean_3d"", ""solar_mean_7d"", ""solar_mean_14d"", ""HRT"", ""HRT_7d"", ""HRT_14d"", ""flow_balance"", ""flow_balance_7d"", ""flow_balance_14d"", ""chla_lag1"", ""chla_lag3"", ""chla_lag7"", ""chla_lag10"", ""chla_lag14"", ""chla_roll7"", ""chla_roll14"", ""BGI_env""]",0.9313186813186813,0.9502572898799314,0.8207407407407408,0.8807631160572337,0.9861139336818594,0.9712128958919028,0.9007613577792504,0.07,1480,29,121,554
T+7,XGBoost,test_pr_auc_then_f1,outputs\modeling_env\models\best_model_Tplus7_XGBoost_env.pkl,exclude_total_cyano_and_harmful_cyano_features,"[""채수위치"", ""일조시간 합계(hr)"", ""투명도"", ""수온(℃)"", ""pH"", ""DO(㎎/L)"", ""탁도"", ""Chl-a (㎎/㎥)"", ""평균기온(°C)"", ""최저기온(°C)"", ""최고기온(°C)"", ""평균 풍속(m/s)"", ""평균 상대습도(%)"", ""합계 일조시간(hr)"", ""합계 일사량(MJ/m2)"", ""평균 전운량(1/10)"", ""수위(EL.m)"", ""저수량(백만㎥)"", ""저수율(%)"", ""강우량(mm)"", ""유입량(㎥/s)"", ""총방류량(㎥/s)"", ""전년저수위"", ""예년저수위"", ""취수량1"", ""취수량2"", ""취수량3"", ""기타방류량1"", ""기타방류량2"", ""기타방류량3"", ""outlet방류량"", ""예년강수량"", ""기타발전방류량"", ""일강수량(mm)"", ""월"", ""연도"", ""dayofyear"", ""month_sin"", ""month_cos"", ""doy_sin"", ""doy_cos"", ""CHD"", ""water_temp_mean_3d"", ""water_temp_mean_7d"", ""water_temp_mean_14d"", ""water_temp_lag1"", ""water_temp_lag3"", ""water_temp_lag7"", ""water_temp_lag10"", ""water_temp_lag14"", ""air_temp_mean_3d"", ""air_temp_mean_7d"", ""air_temp_mean_14d"", ""heat_degree_7d"", ""rain_sum_3d"", ""rain_sum_7d"", ""rain_sum_14d"", ""rain_sum_30d"", ""dry_days"", ""rain_pulse_flag"", ""solar_mean_3d"", ""solar_mean_7d"", ""solar_mean_14d"", ""HRT"", ""HRT_7d"", ""HRT_14d"", ""flow_balance"", ""flow_balance_7d"", ""flow_balance_14d"", ""chla_lag1"", ""chla_lag3"", ""chla_lag7"", ""chla_lag10"", ""chla_lag14"", ""chla_roll7"", ""chla_roll14"", ""BGI_env""]",0.9065377532228361,0.9738955823293173,0.7185185185185186,0.8269394714407502,0.9879927756748064,0.971904788723333,0.8549172418911898,0.35,1484,13,190,485
T+10,XGBoost,test_pr_auc_then_f1,outputs\modeling_env\models\best_model_Tplus10_XGBoost_env.pkl,exclude_total_cyano_and_harmful_cyano_features,"[""채수위치"", ""일조시간 합계(hr)"", ""투명도"", ""수온(℃)"", ""pH"", ""DO(㎎/L)"", ""탁도"", ""Chl-a (㎎/㎥)"", ""평균기온(°C)"", ""최저기온(°C)"", ""최고기온(°C)"", ""평균 풍속(m/s)"", ""평균 상대습도(%)"", ""합계 일조시간(hr)"", ""합계 일사량(MJ/m2)"", ""평균 전운량(1/10)"", ""수위(EL.m)"", ""저수량(백만㎥)"", ""저수율(%)"", ""강우량(mm)"", ""유입량(㎥/s)"", ""총방류량(㎥/s)"", ""전년저수위"", ""예년저수위"", ""취수량1"", ""취수량2"", ""취수량3"", ""기타방류량1"", ""기타방류량2"", ""기타방류량3"", ""outlet방류량"", ""예년강수량"", ""기타발전방류량"", ""일강수량(mm)"", ""월"", ""연도"", ""dayofyear"", ""month_sin"", ""month_cos"", ""doy_sin"", ""doy_cos"", ""CHD"", ""water_temp_mean_3d"", ""water_temp_mean_7d"", ""water_temp_mean_14d"", ""water_temp_lag1"", ""water_temp_lag3"", ""water_temp_lag7"", ""water_temp_lag10"", ""water_temp_lag14"", ""air_temp_mean_3d"", ""air_temp_mean_7d"", ""air_temp_mean_14d"", ""heat_degree_7d"", ""rain_sum_3d"", ""rain_sum_7d"", ""rain_sum_14d"", ""rain_sum_30d"", ""dry_days"", ""rain_pulse_flag"", ""solar_mean_3d"", ""solar_mean_7d"", ""solar_mean_14d"", ""HRT"", ""HRT_7d"", ""HRT_14d"", ""flow_balance"", ""flow_balance_7d"", ""flow_balance_14d"", ""chla_lag1"", ""chla_lag3"", ""chla_lag7"", ""chla_lag10"", ""chla_lag14"", ""chla_roll7"", ""chla_roll14"", ""BGI_env""]",0.9320388349514563,0.9664310954063604,0.8103703703703704,0.8815471394037067,0.9909179609717245,0.9804678976144273,0.8988007765830346,0.26,1469,19,128,547
