lead_time,best_model,rank,feature,mean_abs_shap
T+10,XGBoost,8,water_temp_lag14,0.27852362394332886
T+10,XGBoost,9,chla_roll14,0.260844886302948
T+10,XGBoost,10,water_temp_mean_3d,0.21276265382766724
T+10,XGBoost,11,취수량2,0.211598739027977
T+10,XGBoost,12,air_temp_mean_7d,0.1966603696346283
T+10,XGBoost,13,채수위치_추동,0.18841420114040375
T+10,XGBoost,14,수위(EL.m),0.1757396161556244
T+10,XGBoost,15,Chl-a (㎎/㎥),0.16817843914031982
T+10,XGBoost,16,chla_lag14,0.12658143043518066
T+10,XGBoost,17,pH,0.11987721174955368
T+10,XGBoost,18,DO(㎎/L),0.11810806393623352
T+10,XGBoost,19,HRT_14d,0.10532677173614502
T+10,XGBoost,20,doy_cos,0.10372339189052582
T+10,XGBoost,21,water_temp_mean_7d,0.09523823857307434
T+10,XGBoost,22,flow_balance_14d,0.07440369576215744
T+10,XGBoost,23,총방류량(㎥/s),0.07438895851373672
T+10,XGBoost,24,rain_sum_14d,0.0718059241771698
T+10,XGBoost,25,water_temp_lag7,0.06749776750802994
T+10,XGBoost,26,수온(℃),0.06737525016069412
T+10,XGBoost,27,flow_balance_7d,0.06130697578191757
T+10,XGBoost,28,예년저수위,0.058106694370508194
T+10,XGBoost,29,전년저수위,0.05471211299300194
T+10,XGBoost,30,chla_lag1,0.04818223416805267
