lead_time,model_name,threshold,accuracy,precision,recall,f1,roc_auc,pr_auc,balanced_accuracy,tn,fp,fn,tp
T+1,RandomForest,0.05,0.9452054794520548,0.8209876543209876,0.9925373134328358,0.8986486486486487,0.998998357667527,0.9977744390482021,0.9612021512750636,769,58,2,266
T+1,RandomForest,0.06,0.9643835616438357,0.8778877887788779,0.9925373134328358,0.9316987740805605,0.998998357667527,0.9977744390482021,0.9738986446245195,790,37,2,266
T+1,RandomForest,0.07,0.9735159817351599,0.9078498293515358,0.9925373134328358,0.948306595365419,0.998998357667527,0.9977744390482021,0.979944593838546,800,27,2,266
T+1,RandomForest,0.08,0.9771689497716894,0.9204152249134948,0.9925373134328358,0.9551166965888689,0.998998357667527,0.9977744390482021,0.9823629735241567,804,23,2,266
T+1,RandomForest,0.09,0.9789954337899544,0.926829268292683,0.9925373134328358,0.9585585585585585,0.998998357667527,0.9977744390482021,0.9835721633669621,806,21,2,266
T+1,RandomForest,0.1,0.9789954337899544,0.926829268292683,0.9925373134328358,0.9585585585585585,0.998998357667527,0.9977744390482021,0.9835721633669621,806,21,2,266
T+1,RandomForest,0.11,0.9799086757990868,0.9300699300699301,0.9925373134328358,0.9602888086642599,0.998998357667527,0.9977744390482021,0.9841767582883647,807,20,2,266
T+1,RandomForest,0.12,0.9835616438356164,0.9432624113475178,0.9925373134328358,0.9672727272727273,0.998998357667527,0.9977744390482021,0.9865951379739754,811,16,2,266
T+1,RandomForest,0.13,0.9844748858447488,0.9466192170818505,0.9925373134328358,0.9690346083788707,0.998998357667527,0.9977744390482021,0.987199732895378,812,15,2,266
T+1,RandomForest,0.14,0.9872146118721461,0.9568345323741008,0.9925373134328358,0.9743589743589743,0.998998357667527,0.9977744390482021,0.989013517659586,815,12,2,266
T+1,RandomForest,0.15,0.989041095890411,0.9637681159420289,0.9925373134328358,0.9779411764705882,0.998998357667527,0.9977744390482021,0.9902227075023913,817,10,2,266
T+1,RandomForest,0.16,0.9899543378995433,0.9672727272727273,0.9925373134328358,0.9797421731123389,0.998998357667527,0.9977744390482021,0.9908273024237939,818,9,2,266
T+1,RandomForest,0.17,0.9908675799086758,0.9708029197080292,0.9925373134328358,0.981549815498155,0.998998357667527,0.9977744390482021,0.9914318973451965,819,8,2,266
T+1,RandomForest,0.18,0.9917808219178083,0.9743589743589743,0.9925373134328358,0.9833641404805915,0.998998357667527,0.9977744390482021,0.9920364922665993,820,7,2,266
T+1,RandomForest,0.19,0.9917808219178083,0.9743589743589743,0.9925373134328358,0.9833641404805915,0.998998357667527,0.9977744390482021,0.9920364922665993,820,7,2,266
T+1,RandomForest,0.2,0.9926940639269406,0.9779411764705882,0.9925373134328358,0.9851851851851852,0.998998357667527,0.9977744390482021,0.9926410871880019,821,6,2,266
T+1,RandomForest,0.21,0.9926940639269406,0.9779411764705882,0.9925373134328358,0.9851851851851852,0.998998357667527,0.9977744390482021,0.9926410871880019,821,6,2,266
T+1,RandomForest,0.22,0.993607305936073,0.981549815498155,0.9925373134328358,0.987012987012987,0.998998357667527,0.9977744390482021,0.9932456821094047,822,5,2,266
T+1,RandomForest,0.23,0.993607305936073,0.981549815498155,0.9925373134328358,0.987012987012987,0.998998357667527,0.9977744390482021,0.9932456821094047,822,5,2,266
T+1,RandomForest,0.24,0.993607305936073,0.981549815498155,0.9925373134328358,0.987012987012987,0.998998357667527,0.9977744390482021,0.9932456821094047,822,5,2,266
T+1,RandomForest,0.25,0.993607305936073,0.981549815498155,0.9925373134328358,0.987012987012987,0.998998357667527,0.9977744390482021,0.9932456821094047,822,5,2,266
T+1,RandomForest,0.26,0.993607305936073,0.981549815498155,0.9925373134328358,0.987012987012987,0.998998357667527,0.9977744390482021,0.9932456821094047,822,5,2,266
T+1,RandomForest,0.27,0.9945205479452055,0.9851851851851852,0.9925373134328358,0.9888475836431226,0.998998357667527,0.9977744390482021,0.9938502770308073,823,4,2,266
T+1,RandomForest,0.28,0.9945205479452055,0.9851851851851852,0.9925373134328358,0.9888475836431226,0.998998357667527,0.9977744390482021,0.9938502770308073,823,4,2,266
T+1,RandomForest,0.29,0.9945205479452055,0.9851851851851852,0.9925373134328358,0.9888475836431226,0.998998357667527,0.9977744390482021,0.9938502770308073,823,4,2,266
T+1,RandomForest,0.3,0.9945205479452055,0.9851851851851852,0.9925373134328358,0.9888475836431226,0.998998357667527,0.9977744390482021,0.9938502770308073,823,4,2,266
T+1,RandomForest,0.31,0.9945205479452055,0.9851851851851852,0.9925373134328358,0.9888475836431226,0.998998357667527,0.9977744390482021,0.9938502770308073,823,4,2,266
T+1,RandomForest,0.32,0.9945205479452055,0.9851851851851852,0.9925373134328358,0.9888475836431226,0.998998357667527,0.9977744390482021,0.9938502770308073,823,4,2,266
T+1,RandomForest,0.33,0.9945205479452055,0.9851851851851852,0.9925373134328358,0.9888475836431226,0.998998357667527,0.9977744390482021,0.9938502770308073,823,4,2,266
T+1,RandomForest,0.34,0.9954337899543378,0.9888475836431226,0.9925373134328358,0.9906890130353817,0.998998357667527,0.9977744390482021,0.9944548719522099,824,3,2,266
T+1,RandomForest,0.35,0.9954337899543378,0.9888475836431226,0.9925373134328358,0.9906890130353817,0.998998357667527,0.9977744390482021,0.9944548719522099,824,3,2,266
T+1,RandomForest,0.36,0.9954337899543378,0.9888475836431226,0.9925373134328358,0.9906890130353817,0.998998357667527,0.9977744390482021,0.9944548719522099,824,3,2,266
T+1,RandomForest,0.37,0.9954337899543378,0.9888475836431226,0.9925373134328358,0.9906890130353817,0.998998357667527,0.9977744390482021,0.9944548719522099,824,3,2,266
T+1,RandomForest,0.38,0.9954337899543378,0.9888475836431226,0.9925373134328358,0.9906890130353817,0.998998357667527,0.9977744390482021,0.9944548719522099,824,3,2,266
T+1,RandomForest,0.39,0.9954337899543378,0.9888475836431226,0.9925373134328358,0.9906890130353817,0.998998357667527,0.9977744390482021,0.9944548719522099,824,3,2,266
T+1,RandomForest,0.4,0.9954337899543378,0.9888475836431226,0.9925373134328358,0.9906890130353817,0.998998357667527,0.9977744390482021,0.9944548719522099,824,3,2,266
T+1,RandomForest,0.41,0.9954337899543378,0.9888475836431226,0.9925373134328358,0.9906890130353817,0.998998357667527,0.9977744390482021,0.9944548719522099,824,3,2,266
T+1,RandomForest,0.42,0.9945205479452055,0.9888059701492538,0.9888059701492538,0.9888059701492538,0.998998357667527,0.9977744390482021,0.9925892003104189,824,3,3,265
T+1,RandomForest,0.43,0.9945205479452055,0.9888059701492538,0.9888059701492538,0.9888059701492538,0.998998357667527,0.9977744390482021,0.9925892003104189,824,3,3,265
T+1,RandomForest,0.44,0.9945205479452055,0.9888059701492538,0.9888059701492538,0.9888059701492538,0.998998357667527,0.9977744390482021,0.9925892003104189,824,3,3,265
T+1,RandomForest,0.45,0.9945205479452055,0.9888059701492538,0.9888059701492538,0.9888059701492538,0.998998357667527,0.9977744390482021,0.9925892003104189,824,3,3,265
T+1,RandomForest,0.46,0.9945205479452055,0.9888059701492538,0.9888059701492538,0.9888059701492538,0.998998357667527,0.9977744390482021,0.9925892003104189,824,3,3,265
T+1,RandomForest,0.47,0.9945205479452055,0.9888059701492538,0.9888059701492538,0.9888059701492538,0.998998357667527,0.9977744390482021,0.9925892003104189,824,3,3,265
T+1,RandomForest,0.48,0.9945205479452055,0.9888059701492538,0.9888059701492538,0.9888059701492538,0.998998357667527,0.9977744390482021,0.9925892003104189,824,3,3,265
T+1,RandomForest,0.49,0.9945205479452055,0.9888059701492538,0.9888059701492538,0.9888059701492538,0.998998357667527,0.9977744390482021,0.9925892003104189,824,3,3,265
T+1,RandomForest,0.5,0.9945205479452055,0.9888059701492538,0.9888059701492538,0.9888059701492538,0.998998357667527,0.9977744390482021,0.9925892003104189,824,3,3,265
T+1,RandomForest,0.51,0.9945205479452055,0.9888059701492538,0.9888059701492538,0.9888059701492538,0.998998357667527,0.9977744390482021,0.9925892003104189,824,3,3,265
T+1,RandomForest,0.52,0.9945205479452055,0.9888059701492538,0.9888059701492538,0.9888059701492538,0.998998357667527,0.9977744390482021,0.9925892003104189,824,3,3,265
T+1,RandomForest,0.53,0.9945205479452055,0.9962121212121212,0.9813432835820896,0.9887218045112782,0.998998357667527,0.9977744390482021,0.9900670468696422,826,1,5,263
T+1,RandomForest,0.54,0.9945205479452055,0.9962121212121212,0.9813432835820896,0.9887218045112782,0.998998357667527,0.9977744390482021,0.9900670468696422,826,1,5,263
T+1,RandomForest,0.55,0.9945205479452055,0.9962121212121212,0.9813432835820896,0.9887218045112782,0.998998357667527,0.9977744390482021,0.9900670468696422,826,1,5,263
T+1,RandomForest,0.56,0.9945205479452055,0.9962121212121212,0.9813432835820896,0.9887218045112782,0.998998357667527,0.9977744390482021,0.9900670468696422,826,1,5,263
T+1,RandomForest,0.57,0.9945205479452055,0.9962121212121212,0.9813432835820896,0.9887218045112782,0.998998357667527,0.9977744390482021,0.9900670468696422,826,1,5,263
T+1,RandomForest,0.58,0.9945205479452055,0.9962121212121212,0.9813432835820896,0.9887218045112782,0.998998357667527,0.9977744390482021,0.9900670468696422,826,1,5,263
T+1,RandomForest,0.59,0.9945205479452055,0.9962121212121212,0.9813432835820896,0.9887218045112782,0.998998357667527,0.9977744390482021,0.9900670468696422,826,1,5,263
T+1,RandomForest,0.6,0.9945205479452055,0.9962121212121212,0.9813432835820896,0.9887218045112782,0.998998357667527,0.9977744390482021,0.9900670468696422,826,1,5,263
T+1,RandomForest,0.61,0.9945205479452055,0.9962121212121212,0.9813432835820896,0.9887218045112782,0.998998357667527,0.9977744390482021,0.9900670468696422,826,1,5,263
T+1,RandomForest,0.62,0.9945205479452055,0.9962121212121212,0.9813432835820896,0.9887218045112782,0.998998357667527,0.9977744390482021,0.9900670468696422,826,1,5,263
T+1,RandomForest,0.63,0.9945205479452055,0.9962121212121212,0.9813432835820896,0.9887218045112782,0.998998357667527,0.9977744390482021,0.9900670468696422,826,1,5,263
T+1,RandomForest,0.64,0.9945205479452055,0.9962121212121212,0.9813432835820896,0.9887218045112782,0.998998357667527,0.9977744390482021,0.9900670468696422,826,1,5,263
T+1,RandomForest,0.65,0.9945205479452055,0.9962121212121212,0.9813432835820896,0.9887218045112782,0.998998357667527,0.9977744390482021,0.9900670468696422,826,1,5,263
T+1,RandomForest,0.66,0.9945205479452055,0.9962121212121212,0.9813432835820896,0.9887218045112782,0.998998357667527,0.9977744390482021,0.9900670468696422,826,1,5,263
