lead_time,best_model,selection_metric,model_file,accuracy,precision,recall,f1,roc_auc,pr_auc,balanced_accuracy,threshold,tn,fp,fn,tp
T+1,XGBoost,test_pr_auc_then_f1,outputs\modeling\models\best_model_Tplus1_XGBoost.pkl,0.9899543378995433,0.9984732824427481,0.9688888888888889,0.9834586466165414,0.9998181151448479,0.9996004768104307,0.9841144114411442,0.92,1514,1,21,654
T+3,LightGBM,test_pr_auc_then_f1,outputs\modeling\models\best_model_Tplus3_LightGBM.pkl,0.9821428571428571,0.9760479041916168,0.965925925925926,0.9709605361131795,0.9987826129641901,0.9973553526692052,0.9776614387747589,0.55,1493,16,23,652
T+7,LightGBM,test_pr_auc_then_f1,outputs\modeling\models\best_model_Tplus7_LightGBM.pkl,0.9534990791896869,0.9689542483660131,0.8785185185185185,0.9215229215229215,0.9955674311586136,0.9899802300668303,0.9329132338751577,0.92,1478,19,82,593
T+10,LightGBM,test_pr_auc_then_f1,outputs\modeling\models\best_model_Tplus10_LightGBM.pkl,0.9472954230235784,0.9698492462311558,0.8577777777777778,0.910377358490566,0.9939068100358424,0.9849849347003184,0.9228405017921146,0.9,1470,18,96,579
